ID,Entry,OriginalEmotion,ValidatedEmotion
24543,Sınavların zor olması.,Sadness,Ambigious
24544,Hamam böceklerinden.,Disgust,Disgust
24545,Hediyeler.,Surprise,Happy
24546,Uzun zamandır mutlu olduğumu hatırlamıyorum.,Happy,Ambigious
24547,"Birisinin arkasından bir şeyler yaptığımda , yaptığımın öğrenilmesinden korkarım.",Fear,Fear
24548,Değer verdiğim kişinin aynı değeri bana vermemesi.,Anger,Sadness
24549,İki kişinin arasında seçim yapmak zorunda kaldığım zaman.,Sadness,Sadness
24550,Kişiliksiz ve karaktersiz insanlardan.,Disgust,Disgust
24551,İki farklı şehirlerde yaşayan arkadaşlarımın bir birlerini tanıdıklarını öğrendiğim an.,Surprise,Surprise
24552,Matematik sınavından yüksek almak.,Happy,Happy
24553,Matematik sınavı.,Fear,Fear
24554,Matematik dersinin boş geçmesi.,Anger,Happy
24555,Matematik sınavından düşük not almak.,Sadness,Sadness
24556,Matematik sınavı.,Disgust,Fear
24557,Matematikten düşük not almak.,Surprise,Sadness
24558,Yüksek not aldığımda.,Happy,Happy
24559,Sınavlardan.,Fear,Fear
24560,Konuşmadığım halde öğretmenin bana bakarak bağırması.,Anger,Ambigious
24561,Düşük not almam.,Sadness,Sadness
24562,Öğretmenin tiz sesi.,Disgust,Disgust
24563,Çalışmadığım yerden soru geldiğinde.,Surprise,Ambigious
24564,"Yemek yemek, uyumak , konuşmak ve gülmek.",Happy,Happy
24565,Ölmekten korkarım.,Fear,Fear
24566,Ben öfkeliyken karşımdaki kişinin sakin olması.,Anger,Anger
24567,Sevdiğim insanlarla aramın bozulması.,Sadness,Sadness
24570,Bu okulu kazandığımda.,Happy,Happy
24571,Annemin ameliyat olacağını öğrendiğimde.,Fear,Fear
24572,Babamın kardeşlerinin yaptıklarına çok sinirleniyorum.,Anger,Anger
24573,Yeğenimin kardeşi öldüğünde onun durumuna çok üzüldüm.,Sadness,Sadness
24575,Son 3 günde 9 sınav yapılması.,Surprise,Anger
24576,Kendimi önemli hissettiğim zaman.,Happy,Happy
24577,Kabus gördükten sonra korkarım.,Fear,Fear
24578,İnsanların bana ya da çevreye karşı saygısız davranmasına öfkelenirim.,Anger,Anger
24579,Bu liseyi  kazandığımda üzüldüm.,Sadness,Sadness
24580,Yediğim bir yemeğin içinden kıl çıkması.,Disgust,Disgust
24581,İnsanlardan beklediklerimi bulamayınca şaşırıyorum.,Surprise,Surprise
24582,Sınavlardan 70 üzeri puan aldığımda.,Happy,Happy
24583,Karanlıktan ve korku filmlerinden.,Fear,Fear
24584,İnsanların toplum kurallarına uymaması.,Anger,Anger
24585,Çok yakın bir arkadaşımın annesi öldüğü zaman.,Sadness,Sadness
24586,İnsanların yere tükürmesi.,Disgust,Disgust
24587,Uzun süredir görüşmediğim bir arkadaşımdan mesaj aldığımda şaşırdım.,Surprise,Surprise
24588,Babam beni görmeye geldiği zamanlar çok mutlu oluyorum.,Happy,Happy
24589,ödevimi yapmadığımda ve sözlü sınav olduğunda.,Fear,Fear
24590,Birisi arkamdan konuştuğu zaman öfkeleniyorum.,Anger,Anger
24591,Basketbol maçında sayı atamadığım zaman üzülüyorum.,Sadness,Sadness
24592,Lağım kokusundan tiksinirim.,Disgust,Disgust
24593,Bu liseyi kazandığımı öğrendiğim an.,Surprise,Happy
24594,Birisi bana hediye alırsa ve yüksek puan alırsam mutlu olurum.,Happy,Happy
24595,Boğulmaktan çok korkarım.,Fear,Fear
24596,Birsinin bana hakaret etmesi.,Anger,Anger
24597,Düşün not aldığımda gerçekten üzülüyorum.,Sadness,Sadness
24598,İnsanların yemek yerken ağzını şapırdatması.,Disgust,Disgust
24599,Düşük not beklediğim sınavdan yüksek not almak.,Surprise,Happy
24601,Sınavlara girmeden önce hep korkarım.,Fear,Fear
24602,Öğretmenin yazı yazdırırken hızlı söylemesi ve sorduğumuzda da geri dönmemesine sinirleniyorum.,Anger,Anger
24603,Sınavdan düşün not aldığımda.,Sadness,Sadness
24606,Çikolata yediğim zamanlar.,Happy,Happy
24607,Kapalı alanda kalmaktan korkarım.,Fear,Fear
24608,Haksızlığa uğradığım zaman.,Anger,Anger
24609,At gözlüğü takmış insanlara üzülürüm.,Sadness,Sadness
24610,Duş almayan pis insanlardan.,Disgust,Disgust
24611,Tahmin ettiklerim doğru çıktığı zamanlar.,Surprise,Happy
24612,Ailemle geçirdiğim zamanlar.,Happy,Happy
24613,Köpeklerin beni kovalaması.,Fear,Fear
24614,İnsanların beni anlamamaları ya da yanlış anlamaları.,Anger,Sadness
24615,Sevdiğim insanların hastalanması ya da hayatını kaybetmesi.,Sadness,Sadness
24616,Bazı kişilerin hareketlerinden.,Disgust,Disgust
24617,Hayatımda aldığım en düşük notu öğrendiğimde.,Surprise,Sadness
24618,İstediğim liseyi kazandığım zaman.,Happy,Happy
24619,Evde 2 gün tek başıma kaldığım zaman.,Fear,Fear
24621,Babaannem vefat ettiği zaman.,Sadness,Sadness
24622,Yılanlardan.,Disgust,Fear
24623,Katıldığım bir yarışmada jüri beni seçtiği zaman.,Surprise,Happy
24624,Sevdiğim kız bana mesaj attığı zaman.,Happy,Happy
24625,İzlediğim bir korku filminden sonra korktum.,Fear,Fear
24626,Otobüste insanların gereksiz kavga etmelerine kızıyorum.,Anger,Anger
24627,Sevdiğim kız bana arkadaşım dediği zaman çok üzüldüm.,Sadness,Sadness
24628,"Yediğim domatesin içinden kurt çıkmıştı , hala domates yiyemiyorum.",Disgust,Disgust
24629,Ablam bana telefon aldığında.,Surprise,Happy
24630,Eski okulumun mezuniyet günü çok mutluydum.,Happy,Happy
24631,Ölüm ile ilgili bir film izlemiştim. Sürekli öleceğimi düşünmüştüm.,Fear,Fear
24632,Birisinin bana yalan söylediğini öğrendiğim zaman.,Anger,Anger
24633,Annem ve babam boşandıkları zaman çok üzüldüm.,Sadness,Sadness
24634,Böceklerin bana değmesinden iğrenirim.,Disgust,Disgust
24635,Babam beni eski okulumun lisesine göndermediği zaman.,Surprise,Ambigious
24636,Bir iddiayı kazandığım zaman.,Happy,Happy
24637,Cinlerden korkarım.,Fear,Fear
24638,Birisinin aileme laf söylemesine.,Anger,Anger
24641,"Galatasaray'ın"" ""Rizespor"" maçında 4 gol yemesi.""",Surprise,Ambigious
24642,Ailemle birlikte olmak.,Happy,Happy
24643,Allah'tan korkarım.,Fear,Fear
24644,Yalan ve iftira.,Anger,Anger
24645,Sevdiğim birisinden ayrılmak ya da onu kaybetmek.,Sadness,Sadness
24646,Böceklerden tiksinirim.,Disgust,Disgust
24647,Sessiz insanların ani çıkışlarına şaşırıyorum.,Surprise,Surprise
24648,Arkadaşımın sözleri mutlu ediyor.,Happy,Happy
24649,Okula geç kalacağım diye korkarım.,Fear,Fear
24650,Öğretmen çok fazla ödev verdiği zaman.,Anger,Anger
24651,Arkadaşım bana küstüğü zaman.,Sadness,Sadness
24652,Ağzı pis kokan insanlardan.,Disgust,Disgust
24653,İngilizce sınavından düşük not aldığımda.,Surprise,Sadness
24654,Beşiktaş maç kazandığı zaman.,Happy,Happy
24655,Köpeklerden korkarım.,Fear,Fear
24656,Öğretmelerin dersi iyi anlatmamasına.,Anger,Anger
24658,Böceklerden tiksinirim.,Disgust,Disgust
24660,Tatillerde.,Happy,Happy
24661,Aniden bir kedi gördüğüm zaman.,Fear,Fear
24662,Beni tanımadan hakkımda yorum yapılması.,Anger,Anger
24663,Eski okulumdaki Türkçe öğretmenimden ayrılacağım için üzülmüştüm.,Sadness,Sadness
24665,Bu liseyi kazandığımda.,Surprise,Happy
24666,Beni anlayan insanlar olduğu müddetçe mutluyum.,Happy,Happy
24667,İkizim gözümün önünde bayıldığı zaman.,Fear,Ambigious
24668,Haksızlık olduğu zaman öfkelenirim.,Anger,Anger
24669,"Türkçe'den"" 64 aldığım zaman.""",Sadness,Ambigious
24670,Yolda kedi ölüsü gördüğümde.,Disgust,Disgust
24671,Duman'ın konserine babam bilet alınca çok şaşırdım.,Surprise,Surprise
24672,Ağabeyim istediği okulu ve bölümü kazandığı zaman çok mutlu oldum.,Happy,Happy
24673,Dişçiden korkarım.,Fear,Fear
24674,Birisi ile dalga geçildiğini gördüğümde sinirlenirim.,Anger,Anger
24675,Sınavdan sonra istediğim okula giremedim için üzüldüm.,Sadness,Sadness
24676,Ölü fare  görmek.,Disgust,Disgust
24677,İş yüzünden başka bir şehirde yaşayan babam aniden çıkıp geldiği zaman şaşırdım.,Surprise,Surprise
24678,Arkadaşlarımla sohbet ettiğimde.,Happy,Happy
24679,Uçaklardan korkarım.,Fear,Fear
24680,Çok yakın bir arkadaşımın bana yalan söylemesine.,Anger,Anger
24681,Teyzemin hayatını kaybetmesi.,Sadness,Sadness
24682,Karşımda ağzını şapırdatarak yemek yenmesi.,Disgust,Disgust
24683,Yüksek beklediğim sınavdan düşük not alınca.,Surprise,Sadness
24684,Arkadaşlarım ve ailemle iyi vakit geçirmek ve sevdiğim kitabı okumak.,Happy,Happy
24685,Korku filmi izlerken korkarım.,Fear,Fear
24686,Arkadaşımın benimle dalga geçmesi.,Anger,Anger
24687,Annemden ayrıldığımda ve derslerimi yetiştiremediğim zaman.,Sadness,Sadness
24688,Yemeğimden kıl çıkması ve yemek yerken ağız şapırdatmak.,Disgust,Disgust
24689,Annem istediğim bir eşyayı alıp bana sürpriz yaptığı zaman.,Surprise,Happy
24690,Namaz kıldığım zaman mutlu olurum.,Happy,Happy
24691,Kardeşimin bileği kesildiği zaman.,Fear,Fear
24692,Her şeye öfkelenirim.,Anger,Anger
24693,"2 yıldır birlikte olduğum sevgilimle İzmir'e"" taşındığımız için ayrılmak zorunda kaldık.""",Sadness,Sadness
24694,Köpeklerden tiksinirim.,Disgust,Disgust
24696,Köpeğim olduğu zaman.,Happy,Happy
24697,Birisini alışveriş merkezinde kaybettiğim zaman.,Fear,Fear
24698,Birisinin herhangi bir konuda saçmalaması ya da bana karşı gelmesi.,Anger,Anger
24699,Annemin bizden ayrı yaşaması.,Sadness,Sadness
24700,Böcek gördüğüm zaman.,Disgust,Fear
24701,"Resim , müzik derslerinden ziyade fizik, matematik gibi derslerden 100 alırsam şaşırırım.",Surprise,Surprise
24702,Sınav sonuçlarını öğrendiğim zaman.,Happy,Ambigious
24703,Köpeklerden çok korkarım.,Fear,Fear
24704,Sınavlarda hiç olmaması gereken hatalar yaptığım zaman.,Anger,Ambigious
24705,Babaannem hastaneye kaldırıldığı zaman.,Sadness,Sadness
24706,7. sınıfta böbrek incelediğimiz zaman.,Disgust,Disgust
24707,İzmir'e kar yağdığı zaman.,Surprise,Happy
24714,Doğum günlerimde mutlu olurum.,Happy,Happy
24715,Kedi ve köpeklerden korkarım.,Fear,Fear
24716,Haksızlığa düşürüldüğüm zaman.,Anger,Anger
24717,Dedem öldüğü zaman.,Sadness,Sadness
24718,İnsanların ağzında bir şey varken konuşması.,Disgust,Disgust
24719,Hiç beklemediğim arkadaşım bana yanlış yaptığı zaman.,Surprise,Anger
24720,Hiç bir şeyi umursamadığım zamanlar mutlu olurum.,Happy,Happy
24721,Metroda yanlışlıkla bilmediğim bir yerde inmiştim.,Fear,Fear
24722,Derste gereksiz ve boş konuşanlara.,Anger,Anger
24723,Değer verdiğim kişilerin bana değer vermemesi.,Sadness,Sadness
24724,Erkeklerin itici sesler çıkarması ve bunu komik bulmaları.,Disgust,Ambigious
24725,Beklemediğim davranışlar gördüğümde.,Surprise,Surprise
24726,Çikolata yediğim zaman.,Happy,Happy
24727,Karanlıkta yalnız olduğum zaman.,Fear,Fear
24728,Benimle dalga geçildiği zaman.,Anger,Anger
24729,Sınav notum kötü geldiği zaman.,Sadness,Sadness
24730,Erkeklerin itici seslerinden.,Disgust,Ambigious
24731,Beklemediğim tepkiler aldığım zaman.,Surprise,Surprise
24732,Yaz tatilinin uzaması.,Happy,Happy
24733,Kötü not almaktan.,Fear,Fear
24734,Okulların açılması.,Anger,Ambigious
24735,Sınavda çalıştığım yerden çıkmadığında.,Sadness,Sadness
24736,Yüksek not alanlardan.,Disgust,Ambigious
24737,30 beklerken 85 aldığımda.,Surprise,Happy
24738,Genelde mutluyum.,Happy,Happy
24739,"Eskiden yükseklik ve karanlık korkum vardı, şimdi yalnızca Allah'tan korkuyorum.",Fear,Fear
24740,Haksızlık yapıldığı zaman.,Anger,Anger
24741,Düşük not aldığım zaman.,Sadness,Sadness
24742,Fakirler ve köylülerden tiksinen insanlardan tiksinirim.,Disgust,Disgust
24744,Yeni bilgisayarımı aldığım zaman.,Happy,Happy
24745,Tanımadığım birisi benim hakkımda bir şey söylediği zaman.,Fear,Ambigious
24746,Anlaşılmakta güçlük çektiğim zaman.,Anger,Anger
24747,Akrabalarımdan birisinin vefatı.,Sadness,Sadness
24748,Yemeğimden kıl çıkması.,Disgust,Disgust
24749,En yakın arkadaşımın beklemediğim bir şey yapması.,Surprise,Surprise
24750,Birisinin bana destek olması.,Happy,Happy
24751,Deprem olduğunda.,Fear,Fear
24752,Beden öğretmeninin 1 tur koşturacağım deyip 10 tur koşturması.,Anger,Anger
24753,Annem çok uzak bir yere gittiği zaman.,Sadness,Ambigious
24754,Bazı böcekler.,Disgust,Fear
24755,Sınavda emin olduğum sorunun yanlış çıkması.,Surprise,Sadness
24756,Sınav notlarım iyi geldiğinde ve herkes beni anladığımda mutlu olurum.,Happy,Happy
24757,"Böcekten, örümcekten ve yanlış anlaşılmaktan korkarım.",Fear,Fear
24758,"Arkadaşımın iftiraları, yalanları ve dalga geçmesi çok öfkelendirdi.",Anger,Anger
24759,Ben ya da ailemden birisi hastalandığında.,Sadness,Sadness
24760,Yemek yerken yapılan bazı davranışlar.,Disgust,Disgust
24761,Çok çalıştığım sınavdan düşük not alırsam ya da yok yere kavga olunca.,Surprise,Sadness
24762,Sevdiğim insanlarla hoşlandığım şeyleri yapmak.,Happy,Happy
24763,Hiç beklemediğim bir anda önüme hayvan ya da bir şey çıkması.,Fear,Surprise
24764,Rahatsız olduğum bir konuda bile bile üstüme gelinmesi.,Anger,Anger
24765,Gerçekten istediğim ve çaba gösterdiğim bir olayda istemediğim bir sonuç aldığımda.,Sadness,Sadness
24766,Birisinin önümde kusması.,Disgust,Disgust
24767,Düşük not alacağımı düşündüğüm sınavdan iyi. bir not aldığımda.,Surprise,Surprise
24768,Emeklerimin karşılığını alınca ve sevdiğim insanlarla vakit geçirdiğimde.,Happy,Happy
24769,Ani bir kaza atlattığım zaman.,Fear,Fear
24770,İstediğim bir şey gerçekleşmediği zaman.,Anger,Sadness
24771,Olmasını istediğim ve çaba gösterdiğim bir  şeyin olmaması.,Sadness,Sadness
24772,Birisi önümde kusarsa bende kusarım.,Disgust,Disgust
24773,Etrafımdaki insanların onlardan beklemediğim davranışlar sergilemesi.,Surprise,Surprise
24774,Annem ve babama kavuştuğumda mutlu olurum.,Happy,Happy
24775,Eve dönerken karanlık yolda yürümekten korkarım.,Fear,Fear
24776,Eşyam izinsiz kullanıldığında ve benimle dalga geçildiğinde.,Anger,Anger
24777,Sevdiğim bir arkadaşımla kavga ettiğimde.,Sadness,Sadness
24778,Böceklerden ve farelerden.,Disgust,Fear
24779,Bu liseyi kazandığımı öğrendiğimde.,Surprise,Happy
24780,Arkadaşlarımla gezmek ve müzik dinlemek.,Happy,Happy
24781,Kendimi yalnız hissettiğimde  ve sınav haftası korkarım.,Fear,Fear
24782,"Haksızlık yapıldığında, arkamdan konuşulduğunda ve insan yerine konulmadığım zaman",Anger,Anger
24783,"Kötü geçen sınav sonrası , kendimi dışlanmış hissetmek ve sevdiklerime zarar gelmesi üzer.",Sadness,Sadness
24784,Yapmacık ve sinsi insanlardan.,Disgust,Disgust
24785,Beklemediğim bir olay ya da tepki ile karşılaştığımda.,Surprise,Surprise
24786,Çikolata yediğimde.,Happy,Happy
24787,Cinler hakkında araştırma yapmıştım. Sonrasında da en ufak bir tıkırtı da korktum.,Fear,Fear
24788,İnsanlardan durduk yere ters tepki aldığımda.,Anger,Surprise
24789,Sevdiğim birisine bir şey olduğunda ya da yanımda üzgün olduklarında bende üzülürüm.,Sadness,Sadness
24790,Karşımda kötü bir şekilde yemek yenmesinden.,Disgust,Disgust
24791,Arkadaşımın saçma sapan bir sebepten dolayı benimle küsmesine.,Surprise,Sadness
24792,Birisi bana sevgi sözcüğü kullandığı zaman.,Happy,Happy
24793,Eve geç gelince babamın vereceği tepkiden korkarım.,Fear,Fear
24794,İstemediğim bir şey yapıldığında.,Anger,Anger
24795,Sevdiğim birisini kaybedince ve hoşlandığım çocuk başkasına baktığında.,Sadness,Sadness
24796,Yanımda ses çıkartarak sakız çiğnenmesinden.,Disgust,Disgust
24797,Beklemediğim bir not aldığımda.,Surprise,Surprise
24798,Hediye alındığı zaman.,Happy,Happy
24799,Gece vakti duyduğum bazı seslerden.,Fear,Fear
24800,Kapı zilinin uzun uzun çalınması.,Anger,Anger
24801,Bir yakınımı kaybetmek.,Sadness,Sadness
24802,Ağız şapırdatarak yemek yenmesi.,Disgust,Disgust
24803,Film izlerken enteresan bir sahne görürsem şaşırırım.,Surprise,Surprise
24804,Yüksek not aldığımda.,Happy,Happy
24805,Sınav olduğunu öğrendiğim an.,Fear,Fear
24806,Eşyamın izin alınmadan kullanılmasına.,Anger,Anger
24807,Düşük not aldığımda.,Sadness,Sadness
24808,Birisi kusunca.,Disgust,Disgust
24809,Eve hızlı ve erken döndüğümde.,Surprise,Happy
24810,Yılbaşı kutlamalarında mutlu oluyorum.,Happy,Happy
24811,Yakınlarıma zarar gelmesinden korkarım.,Fear,Fear
24812,Birisinin bana küfürlü konuşması.,Anger,Anger
24813,Hastanedeki hasta çocukları düşündüğüm zaman.,Sadness,Sadness
24815,Çok ilginç birisini gördüğümde.,Surprise,Surprise
24816,Arkadaşlarımla birlikte olduğumda.,Happy,Happy
24817,Karanlıkta kalmak.,Fear,Fear
24818,Arkadaşımın yalan söylemesi.,Anger,Anger
24819,Dedemin ameliyat olması.,Sadness,Sadness
24820,Böcekler.,Disgust,Disgust
24821,Bu liseyi kazandığımı öğrenmek.,Surprise,Ambigious
24822,Heyecanlandığım zaman çok mutlu olurum. Birde arkamdaki arkadaşım saçlarımla oynadığı zaman mutlu olmuştum.,Happy,Happy
24823,Okul servisi yokuş yukarı çıkmaya başladığı zaman.,Fear,Fear
24824,Sağlık sınavında bana kağıt kalmayınca kağıt bulmak 10 dakikamı aldı.,Anger,Anger
24825,Kendimi yalnız hissettiğim zaman.,Sadness,Sadness
24826,Kötü kokulardan.,Disgust,Disgust
24827,Edebiyat sınavım iyi geçtiği zaman.,Surprise,Happy
24828,Sınavdan yüksek not aldığım zaman.,Happy,Happy
24829,Manisa'da kaybolduğum zaman.,Fear,Fear
24830,En yakın arkadaşım bana yalan attığı zaman.,Anger,Anger
24831,Dedemin ve kuşumun öldüğü gün çok üzüldüm.,Sadness,Sadness
24832,Böceklerden tiksinirim.,Disgust,Disgust
24833,Dedemin öldüğü gün.,Surprise,Sadness
24834,Yüksek not almak ve yarışmada derece aldığımda.,Happy,Happy
24835,Sınavda korkarım.,Fear,Fear
24836,Birisinin beni küçümsemesi.,Anger,Anger
24837,Sınavda düşük not almak.,Sadness,Sadness
24838,Kusan birisini görmek.,Disgust,Disgust
24839,Yüksek beklediğim sınavdan düşük not aldığımda.,Surprise,Sadness
24840,Soruları doğru cevapladığım zaman.,Happy,Happy
24841,Bir yerde gece yalnız olduğumda.,Fear,Fear
24842,Kapı zilinin çalması.,Anger,Fear
24843,Herkes benimle dalga geçtiğinde.,Sadness,Sadness
24844,Birisinin kusması.,Disgust,Disgust
24845,Okuduğum kitapta enteresan bir sahne geldiği zaman.,Surprise,Surprise
24846,Cuma günleri okuldan çıkıp ailemle film izlediğim zamanlar.,Happy,Happy
24847,Ülkemizin dış politikada izlediği yol.,Fear,Ambigious
24848,Ailemin beni çalışmaya zorlaması ve hala küçük bir çocuk sanılıyor olmam.,Anger,Anger
24849,Matematik sınavının olması.,Sadness,Fear
24850,Sigara içen çocuklara tepkisiz kalınmasından.,Disgust,Anger
24851,İnsanların bu kadar duyarsız olabilmesine.,Surprise,Surprise
24852,Müzik dinlerken kitap okumak.,Happy,Happy
24853,Çevremdeki bir insanı kaybetmekten.,Fear,Fear
24854,Haksız olarak suçlanmak.,Anger,Anger
24855,Kardeşim ameliyat olduğunda.,Sadness,Sadness
24856,Yapmacık  ve kendini sürekli öven insanlardan tiksiniyorum.,Disgust,Disgust
24857,Fizik sınavından yüksek not aldığımda.,Surprise,Happy
24858,"Genelde üzülmem, mutluyumdur.",Happy,Happy
24859,Çaresiz hissettiğim zaman.,Fear,Fear
24860,Haksızlıklara dayanamam.,Anger,Anger
24861,Ağabeyim bizden uzak bir şehirde olduğu için üzülüyorum.,Sadness,Sadness
24862,Kötü kokulardan tiksinirim.,Disgust,Disgust
24863,Ağabeyim Ankara'dan geldiği zaman.,Surprise,Happy
24864,Oyun oynadığım zaman.,Happy,Happy
24865,İzlediğim bir videodan korkmuştum.,Fear,Fear
24866,Kardeşim telefonumu kırdığında.,Anger,Anger
24867,Sınavdan kötü not aldığımda.,Sadness,Sadness
24868,Yediğim yemekten bir şey çıktığı zaman.,Disgust,Disgust
24870,Etrafımdakiler mutlu olduğu zaman bende oluyorum.,Happy,Happy
24871,Karanlık ve aynaların çok olduğu odalardan.,Fear,Fear
24872,Birisi sırrımı açığa çıkarırsa.,Anger,Anger
24873,Babaannem öldüğü zaman.,Sadness,Sadness
24874,Irkçı ve ayrımcı insanlardan.,Disgust,Anger
24875,Okulum açıklandığında şaşırdım.,Surprise,Surprise
24877,Ailemden birisinin ciddi bir rahatsızlığının olmasından.,Fear,Fear
24879,"Soma'da"" bir okulu ziyarete gitmiştik. Oradaki çocukların ve ailelerinin durumunu gördüğümde üzüldüm.""",Sadness,Sadness
24880,Kendisini herkesten üstün gören insanlardan.,Disgust,Disgust
24882,İstediğim bir şey alındığı zaman.,Happy,Happy
24883,Oyunlardaki yaratıklardan.,Fear,Fear
24884,Arkamdan konuşulmasına.,Anger,Anger
24885,İstediğim telefonun alınmamasına.,Sadness,Sadness
24886,Küflenmiş ekmek yiyen bir kuş gördüğümde.,Disgust,Sadness
24888,Oyun kazanmak.,Happy,Happy
24891,Düşük not almak.,Sadness,Sadness
24892,Alışık olmadığım ortamlarda bulunmaktan.,Disgust,Fear
24894,İstediğim film vizyona girdiğinde.,Happy,Happy
24895,Köpeklerden korkarım.,Fear,Fear
24897,Kalp kırıcı söz söylenmesi ve arkadaşlarımdan ayrılmak.,Sadness,Sadness
24898,Korku filmlerindeki yaratıklardan.,Disgust,Fear
24899,Beklemediğim not aldığımda.,Surprise,Surprise
24900,Kitap okumak ve ailemle vakit geçirmek.,Happy,Happy
24901,Kaza yaptığımız zaman korktum.,Fear,Fear
24902,İftira atılması ve dalga geçilmesi.,Anger,Anger
24903,Anneannemi kaybetmek beni çok üzdü.,Sadness,Sadness
24904,Birisinin önümde kusması.,Disgust,Disgust
24905,Başka bir şehre taşınmak.,Surprise,Sadness
24907,Bazı oyunları oynarken.,Fear,Happy
24909,"Michael Jackson"" öldüğü zaman çok üzüldüm. Çünkü çok büyük hayranıydım.""",Sadness,Sadness
24910,Sağlık bilgisi derslerinde gördüğümüz iğrenç şeylerden.,Disgust,Disgust
24912,Sevdiğim kişileri sevindirmek.,Happy,Happy
24913,Korku filmi izlerken.,Fear,Fear
24914,Yapmadığım bir şeyden dolayı bana kızılması.,Anger,Anger
24915,Yakınlarımdan birisinin ölmesi ya da hastalanması.,Sadness,Sadness
24916,Köpeğin kafamı yalamasından.,Disgust,Disgust
24917,Doğum günümde telefon alınması.,Surprise,Happy
24918,Hafta sonu.,Happy,Happy
24919,Köpek.,Fear,Fear
24920,Pazartesi sabahı.,Anger,Ambigious
24921,Kaybetmek.,Sadness,Ambigious
24922,Pırasa yemeği.,Disgust,Disgust
24923,Matematik dersi.,Surprise,Ambigious
24924,Kötü düşüncelerden uzaklaştığım zaman.,Happy,Happy
24925,Kedi ve böcek.,Fear,Ambigious
24926,"Yapmacık, yalancı ve kırıcı insanlara öfkelenirim.",Anger,Anger
24927,İnsanların aciz olması.,Sadness,Sadness
24928,Kedi ölüsü.,Disgust,Disgust
24929,Beklemediğim sınav sonucu.,Surprise,Surprise
24930,Hediye ya da sürpriz.,Happy,Happy
24931,Yüksekten korkarım.,Fear,Fear
24932,İnternet kesilince.,Anger,Sadness
24933,Kalp kırıcı sözler söylenmesi ve hedeflerime ulaşamadığımda.,Sadness,Sadness
24934,Bir insanın pis şeyleri vücuduna sürmesi.,Disgust,Disgust
24935,Düşük not aldığımda.,Surprise,Sadness
24936,Küçük çocukların isteklerinin gerçekleşmesi.,Happy,Happy
24937,Asansörde kalmak.,Fear,Fear
24938,İhanete uğramak.,Anger,Anger
24939,Uzun süredir istediğim bir şeyin olmaması.,Sadness,Sadness
24940,Yalan söylenmesi.,Disgust,Anger
24941,Matematikte zor soruları yapmam.,Surprise,Happy
24943,Aşı olmaktan korkarım.,Fear,Fear
24944,Yalan söylendiği zaman.,Anger,Anger
24945,İngilizce sınavından çıktıktan sonra.,Sadness,Ambigious
24946,Tostum'da domates olduğunda.,Disgust,Disgust
24947,İngilizce sınavından 90 beklerken 78 aldığım zaman.,Surprise,Sadness
24948,İlk telefonum alındığı zaman.,Happy,Happy
24949,Karanlıkta kalmaktan.,Fear,Fear
24950,Haklıyken haksız duruma düşmek.,Anger,Ambigious
24951,Babaannem öldüğü zaman.,Sadness,Sadness
24952,Yemek yerken ağız şapırdatmak.,Disgust,Disgust
24953,Matematikten 100 aldığımda.,Surprise,Happy
24954,Bu okulu kazandığımda.,Happy,Happy
24955,Karanlıkta kaldığımda.,Fear,Fear
24956,Haksız yere suçlandığım zaman.,Anger,Anger
24957,Dedem öldüğünde.,Sadness,Sadness
24958,Birsinin burnunu karıştırırken görmek.,Disgust,Disgust
24959,Matematikten 100 aldığımda.,Surprise,Happy
24960,Karşıyaka maçına bilet bulduğumda.,Happy,Happy
24961,Elektrikler kesildiğinde.,Fear,Fear
24962,Haksızlıklara.,Anger,Anger
24964,Kantindeki pizzalardan.,Disgust,Ambigious
24965,Beklemediğim tepkiler gördüğümde.,Surprise,Surprise
24966,Sınavlardan iyi bir puan aldığımda.,Happy,Happy
24967,Yüksek bir yere çıktığımda.,Fear,Fear
24968,Hoşlanmadığım kişiler işlerimi burnunu sokunca.,Anger,Anger
24969,Bir yakınım hasta olduğunda.,Sadness,Sadness
24970,Sokakta insanların tükürmesi.,Disgust,Disgust
24971,Sürpriz yapıldığında.,Surprise,Happy
24972,Sınavdan yüksek not aldığımda.,Happy,Happy
24973,Korku oyunu oynarken.,Fear,Fear
24974,Haksızlık yapılması.,Anger,Anger
24975,Balıklarım öldüğünde ve düşük not aldığımda.,Sadness,Sadness
24976,Pis kokulardan tiksinirim.,Disgust,Disgust
24977,Sürpriz parti yapıldığı zaman.,Surprise,Happy
24978,Sınavın iptal olmasına mutlu olurum.,Happy,Happy
24979,Sınava girmeden önce korkarım.,Fear,Fear
24980,Düş not aldığımda öfkelenirim.,Anger,Anger
24981,Sınavın kötü geçmesine üzülürüm.,Sadness,Sadness
24982,Matematik sorusu çözmekten tiksinirim.,Disgust,Disgust
24983,Sınavdan 100 almak.,Surprise,Happy
24984,Bilgisayarda oyun oynamak.,Happy,Happy
24986,Yalan ve sırların başkalarına söylenmesi.,Anger,Anger
24987,İngilizce derslerine girerken.,Sadness,Fear
24988,Kabak tatlısı yerken.,Disgust,Happy
24989,80 beklerken 60 almak.,Surprise,Sadness
24991,Korku filmi izlemek.,Fear,Fear
24993,Düşük not almak.,Sadness,Sadness
24994,Birisinin önümde kusması.,Disgust,Disgust
24995,Sınavda kaydırma yapmak.,Surprise,Ambigious
24996,Yüksek not aldığımda.,Happy,Happy
